,wavelength,intensity
0,200.0,2266000000.0
1,200.1,2070920727.358
2,200.2,1204564533.375
3,200.3,446900065.903
4,200.4,105452481.52
5,200.5,15792251.865
6,200.6,1511538.019
7,200.7,91790.024
8,200.8,13951.669
9,200.9,101754.34
10,201.0,642300.0
11,201.1,2684878.911
12,201.2,7901622.658
13,201.3,18399698.649
14,201.4,37505592.401
15,201.5,64004855.082
16,201.6,80531375.029
17,201.7,68628443.061
18,201.8,38205865.578
19,201.9,13752490.674
20,202.0,3510000.0
21,202.1,3492422.9
22,202.2,18261209.544
23,202.3,74677921.585
24,202.4,207118797.782
25,202.5,384685248.053
26,202.6,474086984.05
27,202.7,384762771.457
28,202.8,205325340.478
29,202.9,74852321.914
30,203.0,25730000.0
31,203.1,19464528.177
32,203.2,34403609.735
33,203.3,120078783.602
34,203.4,434808013.407
35,203.5,1140290161.751
36,203.6,2063194562.95
37,203.7,2598599646.127
38,203.8,2292443077.71
39,203.9,1412829741.719
40,204.0,618700000.001
41,204.1,291180925.055
42,204.2,470323420.965
43,204.3,1042227996.708
44,204.4,1598084441.328
45,204.5,1597672074.307
46,204.6,1037935985.534
47,204.7,438699788.613
48,204.8,121276154.48
49,204.9,22743415.783
50,205.0,4873000.0
51,205.1,14629635.563
52,205.2,81302397.286
53,205.3,304525958.802
54,205.4,744967394.053
55,205.5,1189572441.641
56,205.6,1239413261.273
57,205.7,843497504.464
58,205.8,374280671.15
59,205.9,108533728.859
60,206.0,21130000.0
61,206.1,4478209.13
62,206.2,4088171.358
63,206.3,5123056.935
64,206.4,4744359.235
65,206.5,3803172.103
66,206.6,3517396.396
67,206.7,3412922.137
68,206.8,2690949.506
69,206.9,1755310.983
70,207.0,1219000.0
71,207.1,928324.852
72,207.2,586716.057
73,207.3,262527.052
74,207.4,115244.125
75,207.5,305274.527
76,207.6,1423503.189
77,207.7,4577891.737
78,207.8,9701197.436
79,207.9,13544858.213
80,208.0,12460000.0
81,208.1,7564801.449
82,208.2,3099014.993
83,208.3,1166504.682
84,208.4,1359044.695
85,208.5,3339832.268
86,208.6,8044141.802
87,208.7,16086999.381
88,208.8,23759656.253
89,208.9,24236032.637
90,209.0,16660000.0
91,209.1,7970495.567
92,209.2,3654371.186
93,209.3,3366463.018
94,209.4,4171623.669
95,209.5,4186213.518
96,209.6,4259982.494
97,209.7,6661466.231
98,209.8,11642431.174
99,209.9,18604327.285
100,210.0,40970000.0
101,210.1,128383716.437
102,210.2,349228910.319
103,210.3,690572241.21
104,210.4,984641153.46
105,210.5,1028824705.623
106,210.6,794827299.015
107,210.7,449297456.928
108,210.8,193994250.556
109,210.9,137602763.993
110,211.0,366599999.997
111,211.1,988004771.3
112,211.2,1847765841.947
113,211.3,2349598053.408
114,211.4,2032017909.103
115,211.5,1198973786.724
116,211.6,493583033.614
117,211.7,161530593.825
118,211.8,65658806.174
119,211.9,53652962.729
120,212.0,112799999.999
121,212.1,336090837.888
122,212.2,776445310.097
123,212.3,1262382273.01
124,212.4,1524007840.898
125,212.5,1566368166.46
126,212.6,1542044379.398
127,212.7,1358378290.966
128,212.8,921399720.176
129,212.9,440610787.192
130,213.0,146300000.001
131,213.1,49275577.313
132,213.2,120806071.732
133,213.3,581321453.415
134,213.4,2016114842.877
135,213.5,4761662346.334
136,213.6,7609517723.1
137,213.7,8212184352.69
138,213.8,5978589738.303
139,213.9,2932487574.445
140,214.0,968800000.01
141,214.1,215601518.166
142,214.2,32378073.834
143,214.3,3786465.14
144,214.4,3602770.385
145,214.5,19627696.7
146,214.6,92217252.148
147,214.7,312334084.675
148,214.8,730301112.183
149,214.9,1164524932.733
150,215.0,1261000000.001
151,215.1,929481281.904
152,215.2,469408597.399
153,215.3,165636835.342
154,215.4,42715992.053
155,215.5,8774977.281
156,215.6,1587275.372
157,215.7,324973.718
158,215.8,479786.54
159,215.9,1765520.902
160,216.0,4945000.0
161,216.1,11242591.629
162,216.2,26333731.867
163,216.3,66923750.713
164,216.4,147065858.114
165,216.5,236694258.717
166,216.6,264192289.913
167,216.7,201586169.193
168,216.8,104764161.091
169,216.9,37065174.572
170,217.0,8963000.0
171,217.1,1747832.818
172,217.2,1601558.452
173,217.3,5076516.131
174,217.4,13869798.334
175,217.5,38652365.585
176,217.6,131858893.794
177,217.7,431749773.914
178,217.8,1073776750.698
179,217.9,1888631797.093
180,218.0,2326999999.999
181,218.1,2033518518.239
182,218.2,1303313641.688
183,218.3,648645168.279
184,218.4,265897395.639
185,218.5,94866936.748
186,218.6,53640253.998
187,218.7,130765053.173
