,wavelength,intensity
0,200.0,9518000000.0
1,200.1,8613000000.0
2,200.2,4728000000.0
3,200.3,1574000000.001
4,200.4,318000000.0
5,200.5,38970000.0
6,200.6,2897000.0
7,200.7,131700.0
8,200.8,24270.0
9,200.9,256800.0
10,201.0,1959000.0
11,201.1,9343000.0
12,201.2,29420000.0
13,201.3,69720000.0
14,201.4,145400000.0
15,201.5,259900000.0
16,201.6,337100000.0
17,201.7,283700000.0
18,201.8,148600000.0
19,201.9,47890000.0
20,202.0,10160000.0
21,202.1,8990000.0
22,202.2,55860000.0
23,202.3,261000000.0
24,202.4,799099999.999
25,202.5,1579999999.999
26,202.6,1991000000.0
27,202.7,1582000000.001
28,202.8,790000000.001
29,202.9,258900000.001
30,203.0,85520000.0
31,203.1,72620000.0
32,203.2,113900000.0
33,203.3,381899999.999
34,203.4,1541999999.996
35,203.5,4423999999.993
36,203.6,8437999999.993
37,203.7,10829999999.999
38,203.8,9454000000.007
39,203.9,5585000000.009
40,204.0,2241000000.005
41,204.1,934100000.001
42,204.2,1681999999.996
43,204.3,4154999999.992
44,204.4,6689999999.996
45,204.5,6690000000.004
46,204.6,4147000000.008
47,204.7,1596000000.005
48,204.8,385100000.002
49,204.9,61710000.0
50,205.0,11580000.0
51,205.1,38030000.0
52,205.2,254099999.999
53,205.3,1096999999.996
54,205.4,2956999999.993
55,205.5,4967999999.996
56,205.6,5201000000.003
57,205.7,3393000000.007
58,205.8,1380000000.005
59,205.9,349800000.002
60,206.0,57340000.0
61,206.1,12890000.0
62,206.2,16210000.0
63,206.3,21380000.0
64,206.4,19260000.0
65,206.5,14740000.0
66,206.6,13970000.0
67,206.7,14060000.0
68,206.8,10870000.0
69,206.9,6761000.0
70,207.0,4760000.0
71,207.1,3775000.0
72,207.2,2340000.0
73,207.3,960100.0
74,207.4,333800.0
75,207.5,847300.0
76,207.6,4686000.0
77,207.7,17100000.0
78,207.8,39320000.0
79,207.9,56920000.0
80,208.0,51900000.0
81,208.1,29820000.0
82,208.2,11020000.0
83,208.3,3703000.0
84,208.4,4705000.0
85,208.5,12110000.0
86,208.6,30240000.0
87,208.7,64140000.0
88,208.8,98970000.0
89,208.9,101500000.0
90,209.0,66970000.0
91,209.1,29320000.0
92,209.2,12560000.0
93,209.3,13040000.0
94,209.4,17290000.0
95,209.5,16850000.0
96,209.6,15750000.0
97,209.7,25120000.0
98,209.8,45410000.0
99,209.9,58290000.0
100,210.0,50510000.0
101,210.1,49950000.0
102,210.2,159299999.999
103,210.3,585899999.996
104,210.4,1439999999.994
105,210.5,2260999999.997
106,210.6,2261000000.003
107,210.7,1443000000.006
108,210.8,613000000.004
109,210.9,348899999.999
110,211.0,891499999.994
111,211.1,2427999999.988
112,211.2,4336999999.99
113,211.3,4958000000.003
114,211.4,3625000000.013
115,211.5,1712000000.011
116,211.6,572100000.004
117,211.7,229600000.001
118,211.8,183300000.0
119,211.9,183100000.0
120,212.0,369999999.997
121,212.1,1217999999.991
122,212.2,3069999999.985
123,212.3,5188999999.988
124,212.4,6218999999.997
125,212.5,6266000000.0
126,212.6,6246000000.001
127,212.7,5594000000.009
128,212.8,3705000000.016
129,212.9,1649000000.012
130,213.0,485900000.005
131,213.1,133200000.001
132,213.2,325899999.996
133,213.3,1843999999.978
134,213.4,7284999999.935
135,213.5,18859999999.894
136,213.6,31709999999.926
137,213.7,34510000000.035
138,213.8,24270000000.11
139,213.9,11030000000.088
140,214.0,3232000000.037
141,214.1,611700000.009
142,214.2,74920000.001
143,214.3,7408000.0
144,214.4,9274000.0
145,214.5,55279999.999
146,214.6,294799999.996
147,214.7,1128999999.989
148,214.8,2890999999.982
149,214.9,4842999999.988
150,215.0,5280000000.006
151,215.1,3751000000.018
152,215.2,1748000000.014
153,215.3,547900000.006
154,215.4,123700000.002
155,215.5,23080000.0
156,215.6,3971000.0
157,215.7,774500.0
158,215.8,1413000.0
159,215.9,6089000.0
160,216.0,18420000.0
161,216.1,41600000.0
162,216.2,92839999.999
163,216.3,243799999.998
164,216.4,578499999.996
165,216.5,982499999.997
166,216.6,1111000000.001
167,216.7,823500000.004
168,216.8,398800000.004
169,216.9,126100000.002
170,217.0,26130000.0
171,217.1,4277000.0
172,217.2,4849000.0
173,217.3,17880000.0
174,217.4,49900000.0
175,217.5,127599999.999
176,217.6,425899999.994
177,217.7,1524999999.982
178,217.8,4163999999.965
179,217.9,7765999999.966
180,218.0,9750999999.997
181,218.1,8373000000.028
182,218.2,5139000000.033
183,218.3,2434000000.022
184,218.4,956200000.01
185,218.5,319000000.004
186,218.6,159900000.0
187,218.7,431799999.994
188,218.8,1407999999.984
189,218.9,3374999999.973
190,219.0,6410999999.961
191,219.1,10709999999.947
192,219.2,15469999999.957
193,219.3,17250000000.011
194,219.4,13560000000.065
195,219.5,7223000000.066
196,219.6,2605000000.035
197,219.7,665500000.011
198,219.8,141300000.002
199,219.9,36010000.0
200,220.0,19250000.0
201,220.1,18420000.0
202,220.2,15460000.0
203,220.3,8987000.0
204,220.4,3668000.0
205,220.5,3686000.0
206,220.6,26579999.999
207,220.7,165999999.997
208,220.8,692999999.99
209,220.9,1922999999.981
210,221.0,3544999999.983
211,221.1,4346000000.0
212,221.2,3545000000.017
213,221.3,1943000000.019
214,221.4,811600000.008
215,221.5,708399999.994
216,221.6,1949999999.975
217,221.7,4793999999.958
218,221.8,8075999999.968
219,221.9,9109000000.009
220,222.0,6854000000.042
221,222.1,3438000000.038
222,222.2,1159000000.018
223,222.3,307900000.005
224,222.4,207999999.999
225,222.5,398499999.997
226,222.6,729799999.995
227,222.7,1265999999.991
228,222.8,2122999999.987
229,222.9,2954999999.993
230,223.0,2992000000.007
231,223.1,2092000000.015
232,223.2,1000000000.012
233,223.3,331100000.006
234,223.4,78730000.002
235,223.5,14380000.0
236,223.6,2428000.0
237,223.7,4177000.0
238,223.8,39149999.999
239,223.9,263599999.994
240,224.0,1193999999.979
241,224.1,3635999999.955
242,224.2,7460999999.947
243,224.3,10439999999.977
244,224.4,10590000000.013
245,224.5,9881999999.996
246,224.6,11999999999.947
247,224.7,16029999999.955
248,224.8,16730000000.032
249,224.9,12110000000.089
250,225.0,5942000000.077
251,225.1,1968000000.036
252,225.2,441000000.011
253,225.3,69270000.002
254,225.4,12510000.0
255,225.5,9365000.0
256,225.6,9607000.0
257,225.7,6998000.0
258,225.8,3466000.0
259,225.9,1317000.0
260,226.0,1315000.0
261,226.1,4563000.0
262,226.2,13350000.0
263,226.3,27280000.0
264,226.4,38920000.0
265,226.5,39290000.0
266,226.6,28650000.0
267,226.7,15460000.0
268,226.8,6289000.0
269,226.9,1937000.0
270,227.0,562400.0
271,227.1,1582000.0
272,227.2,12600000.0
273,227.3,71479999.998
274,227.4,275799999.995
275,227.5,723599999.991
276,227.6,1290999999.992
277,227.7,1568000000.0
278,227.8,1296000000.008
279,227.9,730500000.009
280,228.0,281700000.005
281,228.1,74830000.002
282,228.2,13940000.0
283,228.3,2257000.0
284,228.4,2025000.0
285,228.5,5601000.0
286,228.6,11570000.0
287,228.7,16440000.0
288,228.8,16500000.0
289,228.9,14100000.0
290,229.0,22070000.0
291,229.1,78679999.998
292,229.2,278699999.995
293,229.3,728999999.99
294,229.4,1328999999.991
295,229.5,1665999999.999
296,229.6,1430000000.008
297,229.7,840500000.01
298,229.8,337900000.006
299,229.9,92920000.002
300,230.0,17480000.001
301,230.1,2249000.0
302,230.2,198000.0
303,230.3,11920.0
304,230.4,491.2
305,230.5,13.84
306,230.6,0.267
307,230.7,0.004
308,230.8,0.0
309,230.9,0.0
310,231.0,0.0
311,231.1,0.0
312,231.2,0.0
313,231.3,0.0
314,231.4,0.0
315,231.5,0.0
316,231.6,0.0
317,231.7,0.0
318,231.8,0.0
319,231.9,0.0
320,232.0,0.0
321,232.1,0.0
322,232.2,0.0
323,232.3,0.0
324,232.4,0.0
325,232.5,0.0
326,232.6,0.002
327,232.7,0.076
328,232.8,2.373
329,232.9,51.45
330,233.0,773.3
331,233.1,8059.0
332,233.2,58230.0
333,233.3,291700.0
334,233.4,1013000.0
335,233.5,2440000.0
336,233.6,4075000.0
337,233.7,4718000.0
338,233.8,3787000.0
339,233.9,2108000.0
340,234.0,813400.0
341,234.1,217600.0
342,234.2,40370.0
343,234.3,5193.0
344,234.4,463.1
345,234.5,28.63
346,234.6,1.227
347,234.7,0.036
348,234.8,0.001
349,234.9,0.0
350,235.0,0.0
351,235.1,0.0
352,235.2,0.0
353,235.3,0.0
354,235.4,0.0
355,235.5,0.0
356,235.6,0.0
357,235.7,0.0
358,235.8,0.001
359,235.9,0.106
360,236.0,5.503
361,236.1,200.3
362,236.2,5106.0
363,236.3,91210.0
364,236.4,1141000.0
365,236.5,10000000.0
366,236.6,61439999.998
367,236.7,264299999.993
368,236.8,796699999.985
369,236.9,1681999999.98
370,237.0,2487999999.989
371,237.1,2578000000.008
372,237.2,1872000000.02
373,237.3,952400000.017
374,237.4,341100000.009
375,237.5,89490000.003
376,237.6,23050000.001
377,237.7,11660000.0
378,237.8,8408000.0
379,237.9,4862000.0
380,238.0,2003000.0
381,238.1,580300.0
382,238.2,118000.0
383,238.3,16840.0
384,238.4,1687.0
385,238.5,118.6
386,238.6,5.856
387,238.7,0.203
388,238.8,0.005
389,238.9,0.0
390,239.0,0.0
391,239.1,0.0
392,239.2,0.0
393,239.3,0.021
394,239.4,0.825
395,239.5,22.88
396,239.6,448.6
397,239.7,6224.0
398,239.8,61090.0
399,239.9,424200.0
400,240.0,2084000.0
401,240.1,7243000.0
402,240.2,17810000.0
403,240.3,30980000.0
404,240.4,38130000.0
405,240.5,33200000.0
406,240.6,20450000.0
407,240.7,8914000.0
408,240.8,2749000.0
409,240.9,599600.0
410,241.0,92530.0
411,241.1,10100.0
412,241.2,780.4
413,241.3,42.65
414,241.4,1.652
415,241.5,0.167
416,241.6,3.303
417,241.7,63.62
418,241.8,872.5
419,241.9,8516.0
420,242.0,59160.0
421,242.1,292500.0
422,242.2,1029000.0
423,242.3,2578000.0
424,242.4,4596000.0
425,242.5,5831000.0
426,242.6,5265000.0
427,242.7,3384000.0
428,242.8,1548000.0
429,242.9,504000.0
430,243.0,116800.0
431,243.1,19260.0
432,243.2,2261.0
433,243.3,188.9
434,243.4,11.23
435,243.5,0.475
436,243.6,0.014
437,243.7,0.0
438,243.8,0.0
439,243.9,0.0
440,244.0,0.0
441,244.1,0.0
442,244.2,0.0
443,244.3,0.0
444,244.4,0.0
445,244.5,0.0
446,244.6,0.0
447,244.7,0.0
448,244.8,0.0
449,244.9,0.0
450,245.0,0.0
451,245.1,0.0
452,245.2,0.0
453,245.3,0.0
454,245.4,0.0
455,245.5,0.0
456,245.6,0.0
457,245.7,0.0
458,245.8,0.0
459,245.9,0.0
460,246.0,0.0
461,246.1,0.0
462,246.2,0.001
463,246.3,0.025
464,246.4,0.797
465,246.5,18.36
466,246.6,304.9
467,246.7,3653.0
468,246.8,31560.0
469,246.9,196700.0
470,247.0,884200.0
471,247.1,2867000.0
472,247.2,6704000.0
473,247.3,11310000.0
474,247.4,13760000.0
475,247.5,12070000.0
476,247.6,7640000.0
477,247.7,3488000.0
478,247.8,1149000.0
479,247.9,274500.0
480,248.0,63800.0
481,248.1,124800.0
482,248.2,600200.0
483,248.3,2187000.0
484,248.4,5772000.0
485,248.5,11030000.0
486,248.6,15270000.0
487,248.7,15570000.0
488,248.8,12930000.0
489,248.9,13630000.0
490,249.0,25659999.999
491,249.1,51409999.999
492,249.2,79849999.999
493,249.3,90700000.0
494,249.4,74760000.001
495,249.5,44670000.001
496,249.6,19350000.001
497,249.7,6074000.0
498,249.8,1382000.0
499,249.9,229700.0
500,250.0,45960.0
501,250.1,150400.0
502,250.2,852200.0
503,250.3,3567000.0
504,250.4,10870000.0
505,250.5,24070000.0
506,250.6,38800000.0
507,250.7,45490000.0
508,250.8,38800000.0
509,250.9,24070000.0
510,251.0,10870000.0
511,251.1,3567000.0
512,251.2,852100.0
513,251.3,148000.0
514,251.4,18710.0
515,251.5,1720.0
516,251.6,115.1
517,251.7,5.989
518,251.8,8.849
519,251.9,140.4
520,252.0,1667.0
521,252.1,14490.0
522,252.2,92280.0
523,252.3,431900.0
524,252.4,1496000.0
525,252.5,3889000.0
526,252.6,7809000.0
527,252.7,12690000.0
528,252.8,17560000.0
529,252.9,21130000.0
530,253.0,21430000.0
531,253.1,17370000.0
532,253.2,10790000.0
533,253.3,5012000.0
534,253.4,1720000.0
535,253.5,433500.0
536,253.6,80150.0
537,253.7,11530.0
538,253.8,9462.0
539,253.9,75130.0
540,254.0,493200.0
541,254.1,2381000.0
