Wave   ,Sample   ,Dark     ,Reference
230.218,  298.553,  290.315,  293.845
230.311,  321.173,  319.885,  318.565
230.404,  311.253,  309.855,  312.875
230.497,  319.993,  317.385,  315.715
230.591,  339.213,  333.426,  335.355
230.684,  329.753,  326.486,  329.355
230.777,  316.053,  311.736,  314.765
230.870,  316.523,  313.326,  316.955
230.964,  315.733,  310.885,  314.745
231.057,  343.643,  342.496,  343.475
231.150,  333.983,  331.695,  332.715
231.243,  334.513,  330.635,  332.775
231.336,  334.903,  331.375,  331.335
231.430,  322.233,  316.496,  317.715
231.523,  330.653,  324.516,  326.785
231.616,  311.313,  305.445,  309.685
231.709,  347.573,  328.065,  330.025
231.802,  315.803,  300.945,  301.885
231.895,  318.143,  299.836,  300.315
231.988,  335.543,  315.655,  318.535
232.082,  317.003,  298.155,  302.425
232.175,  318.643,  302.155,  306.175
232.268,  318.893,  301.266,  305.345
232.361,  320.093,  304.806,  307.515
232.454,  339.543,  322.396,  323.025
232.547,  336.143,  318.716,  322.655
232.640,  311.123,  296.766,  294.035
232.733,  333.303,  314.116,  323.045
232.826,  310.543,  288.915,  295.035
232.919,  331.833,  313.826,  312.665
233.012,  306.123,  293.646,  292.775
233.105,  312.913,  294.766,  298.815
233.199,  318.303,  299.875,  304.045
233.292,  310.603,  293.475,  296.235
233.385,  280.543,  263.426,  262.225
233.478,  311.433,  293.885,  295.685
233.571,  341.763,  324.586,  327.675
233.664,  324.733,  305.996,  308.435
233.757,  297.163,  280.796,  281.395
233.850,  298.713,  282.255,  285.825
233.943,  308.473,  290.896,  292.195
234.035,  317.793,  300.576,  302.355
234.128,  298.003,  281.836,  283.945
234.221,  313.323,  297.665,  298.245
234.314,  328.373,  304.915,  311.975
234.407,  325.613,  302.935,  309.075
234.500,  296.863,  277.625,  281.875
234.593,  301.693,  287.095,  285.735
234.686,  309.853,  293.746,  293.765
234.779,  310.383,  291.266,  293.165
234.872,  299.423,  281.806,  281.565
234.965,  305.933,  292.806,  290.795
235.058,  291.703,  274.155,  276.215
235.150,  309.053,  285.776,  290.805
235.243,  299.373,  282.736,  284.425
235.336,  320.523,  300.695,  304.545
235.429,  290.093,  273.646,  272.515
235.522,  351.193,  330.996,  335.445
235.615,  280.663,  262.276,  265.145
235.707,  299.313,  282.415,  282.335
235.800,  302.653,  289.815,  290.515
235.893,  305.393,  289.956,  292.955
235.986,  314.823,  298.266,  299.325
236.079,  300.773,  286.586,  291.125
236.171,  289.653,  270.725,  271.865
236.264,  325.493,  312.635,  313.275
236.357,  307.463,  290.986,  293.865
236.450,  325.353,  315.225,  317.215
236.542,  289.303,  267.065,  272.575
236.635,  328.663,  313.546,  316.385
236.728,  302.083,  285.516,  288.115
236.821,  298.763,  280.165,  283.715
236.913,  292.813,  277.896,  276.315
237.006,  291.223,  271.605,  275.435
237.099,  298.223,  283.896,  285.575
237.191,  316.373,  298.796,  300.225
237.284,  286.063,  267.896,  272.995
237.377,  313.543,  294.725,  297.495
237.470,  302.143,  285.415,  287.875
237.562,  294.023,  276.866,  275.785
237.655,  340.423,  320.945,  324.565
237.747,  313.383,  292.695,  295.845
237.840,  331.063,  313.086,  314.435
237.933,  320.773,  300.445,  301.555
238.025,  326.073,  301.415,  301.595
238.118,  303.803,  282.456,  287.755
238.211,  287.043,  268.155,  272.375
238.303,  290.233,  272.296,  273.415
238.396,  284.853,  268.065,  271.945
238.488,  305.363,  292.625,  291.075
238.581,  306.113,  287.855,  289.445
238.673,  307.443,  285.766,  286.865
238.766,  301.233,  282.635,  283.185
238.859,  290.803,  273.586,  276.105
238.951,  299.933,  281.095,  282.835
239.044,  292.483,  276.496,  279.525
239.136,  288.283,  269.035,  271.705
239.229,  297.203,  280.665,  283.435
239.321,  292.943,  271.255,  276.105
239.414,  308.863,  289.875,  292.345
239.506,  304.293,  284.625,  290.655
239.599,  333.943,  316.315,  315.935
239.691,  308.283,  287.945,  287.755
239.784,  322.463,  301.926,  304.175
239.876,  314.523,  295.005,  294.715
239.969,  307.993,  284.426,  288.635
240.061,  288.733,  269.505,  272.655
240.153,  297.403,  276.776,  278.405
240.246,  305.653,  287.635,  287.925
240.338,  330.043,  315.285,  314.405
240.431,  288.633,  268.896,  270.455
240.523,  290.263,  269.315,  270.665
240.615,  317.383,  299.086,  301.495
240.708,  329.553,  309.945,  312.145
240.800,  299.473,  286.956,  289.175
240.893,  290.413,  272.216,  274.965
240.985,  307.853,  286.116,  289.995
241.077,  285.533,  269.866,  271.905
241.170,  317.643,  300.355,  300.805
241.262,  311.893,  293.695,  290.825
241.354,  271.783,  252.305,  253.985
241.447,  300.343,  281.326,  283.905
241.539,  290.673,  266.746,  270.745
241.631,  335.383,  314.366,  317.275
241.724,  284.243,  259.135,  260.655
241.816,  299.533,  279.385,  281.545
241.908,  297.743,  275.056,  280.445
242.000,  298.093,  277.625,  279.505
242.093,  299.373,  277.725,  280.745
242.185,  297.863,  277.736,  277.535
242.277,  293.843,  274.695,  277.115
242.369,  301.993,  282.146,  286.335
242.462,  293.893,  274.405,  274.215
242.554,  297.333,  277.146,  281.105
242.646,  302.823,  283.146,  286.575
242.738,  328.243,  303.255,  307.195
242.830,  279.553,  259.026,  260.415
242.923,  316.953,  297.035,  299.015
243.015,  288.663,  268.655,  266.675
243.107,  289.983,  267.676,  271.255
243.199,  297.753,  276.345,  278.365
243.291,  295.563,  272.125,  276.215
243.383,  272.093,  254.826,  256.465
243.476,  283.723,  269.435,  268.005
243.568,  300.183,  280.915,  284.885
243.660,  293.003,  273.385,  279.575
243.752,  299.563,  279.796,  287.275
243.844,  318.263,  300.766,  302.705
243.936,  306.903,  291.956,  293.555
244.028,  321.733,  304.796,  307.475
244.120,  269.143,  254.346,  255.525
244.212,  307.163,  293.826,  293.755
244.305,  280.433,  268.496,  267.935
244.397,  307.883,  289.165,  291.675
244.489,  320.433,  304.276,  307.925
244.581,  318.673,  299.255,  300.795
244.673,  299.493,  281.806,  283.225
244.765,  304.493,  286.035,  290.565
244.857,  306.043,  284.986,  287.335
244.949,  307.453,  283.956,  284.945
245.041,  266.423,  250.865,  255.005
245.133,  311.913,  293.695,  296.625
245.225,  295.203,  277.915,  280.695
245.317,  304.383,  289.456,  289.025
245.409,  284.893,  263.755,  269.375
245.501,  308.853,  288.496,  293.045
245.593,  310.123,  286.255,  290.055
245.685,  300.833,  285.405,  288.735
245.776,  303.743,  285.945,  287.235
245.868,  285.943,  271.276,  272.565
245.960,  280.983,  265.875,  263.405
246.052,  323.013,  310.766,  310.445
246.144,  310.243,  294.165,  294.205
246.236,  295.023,  283.576,  283.565
246.328,  305.543,  291.345,  293.965
246.420,  293.103,  279.746,  280.855
246.512,  326.973,  308.236,  310.455
246.604,  301.303,  282.526,  286.825
246.695,  286.813,  273.345,  272.135
246.787,  311.983,  293.526,  301.145
246.879,  312.413,  292.716,  297.145
246.971,  313.803,  299.276,  300.965
247.063,  290.553,  273.255,  278.605
247.155,  313.113,  294.516,  297.195
247.246,  300.593,  283.266,  283.715
247.338,  307.363,  288.116,  294.265
247.430,  317.043,  299.945,  303.475
247.522,  315.453,  297.546,  300.555
247.613,  317.483,  296.586,  299.675
247.705,  307.523,  286.896,  288.445
247.797,  328.393,  305.776,  307.475
247.889,  320.403,  294.706,  295.475
247.980,  327.113,  285.676,  291.995
248.072,  333.633,  282.845,  285.895
248.164,  350.243,  293.216,  298.385
248.256,  305.623,  271.366,  274.105
248.347,  333.673,  309.785,  311.065
248.439,  301.483,  283.165,  282.675
248.531,  320.113,  303.885,  304.835
248.622,  323.103,  307.206,  308.325
248.714,  297.893,  276.945,  278.365
248.806,  310.713,  293.655,  298.015
248.897,  309.733,  291.535,  292.985
248.989,  282.573,  263.956,  263.855
249.081,  297.953,  283.355,  284.905
249.172,  312.503,  289.926,  295.135
249.264,  290.433,  272.076,  273.435
249.356,  291.793,  269.326,  273.745
249.447,  304.093,  282.176,  284.525
249.539,  300.023,  283.086,  284.645
249.630,  309.983,  289.875,  288.495
249.722,  332.823,  313.276,  315.395
249.813,  302.643,  280.496,  284.125
249.905,  307.843,  289.426,  293.665
249.997,  298.153,  281.445,  280.615
250.088,  307.163,  282.255,  288.985
250.180,  309.643,  283.695,  284.575
250.271,  306.173,  281.195,  280.335
250.363,  341.983,  319.105,  320.755
250.454,  296.003,  273.035,  275.615
250.546,  311.613,  285.926,  289.415
250.637,  286.713,  264.445,  261.845
250.729,  294.313,  266.505,  269.555
250.820,  315.683,  289.915,  292.965
250.912,  292.253,  262.355,  267.085
251.003,  304.603,  278.396,  280.475
251.095,  305.803,  282.086,  284.555
251.186,  298.773,  271.415,  274.775
251.277,  302.643,  271.986,  275.265
251.369,  304.123,  275.975,  275.105
251.460,  300.833,  271.456,  273.815
251.552,  313.113,  278.475,  279.655
251.643,  308.393,  268.796,  267.375
251.735,  310.433,  265.246,  267.375
251.826,  302.443,  258.016,  263.245
251.917,  327.663,  278.035,  279.115
252.009,  328.193,  273.396,  275.605
252.100,  336.003,  281.426,  283.345
252.191,  358.103,  289.996,  292.015
252.283,  350.423,  265.095,  267.705
252.374,  371.723,  278.296,  278.375
252.465,  395.063,  295.405,  298.605
252.557,  396.383,  283.576,  286.365
252.648,  394.853,  265.146,  268.635
252.739,  422.533,  280.516,  282.125
252.831,  423.813,  270.836,  280.355
252.922,  461.283,  282.296,  280.045
253.013,  508.793,  273.956,  284.285
253.104,  563.903,  270.076,  270.335
253.196,  680.963,  271.366,  271.175
253.287,  832.003,  281.836,  277.135
253.378, 1213.583,  276.276,  277.975
253.469, 3732.463,  272.385,  276.445
253.561,21216.633,  273.496,  278.855
253.652,42286.395,  282.266,  280.015
253.743, 6351.103,  276.216,  280.985
253.834,  620.153,  259.146,  265.875
253.926,  503.813,  262.605,  267.485
254.017,  480.643,  284.236,  290.235
254.108,  454.723,  291.836,  290.565
254.199,  433.063,  285.326,  291.185
254.290,  436.113,  312.725,  313.865
254.381,  416.183,  287.076,  291.155
254.472,  411.843,  291.935,  300.495
254.564,  416.503,  312.766,  307.565
254.655,  397.433,  304.755,  308.105
254.746,  352.473,  264.896,  264.025
254.837,  384.813,  293.105,  298.435
254.928,  360.373,  266.836,  271.975
255.019,  367.263,  283.505,  286.805
255.110,  369.333,  300.165,  301.665
255.201,  352.383,  281.155,  287.655
255.292,  383.033,  312.706,  316.275
255.383,  350.303,  275.785,  275.725
255.474,  341.523,  273.306,  273.095
255.566,  350.633,  283.926,  286.645
255.657,  349.113,  298.556,  302.445
255.748,  318.003,  271.415,  278.125
255.839,  324.383,  280.695,  282.485
255.930,  328.343,  287.866,  289.735
256.021,  340.483,  298.845,  298.115
256.112,  318.293,  278.456,  278.735
256.203,  350.153,  311.866,  313.365
256.294,  331.413,  293.496,  299.575
256.384,  312.363,  270.565,  275.715
256.475,  319.643,  290.996,  294.595
256.566,  310.773,  281.246,  287.825
256.657,  307.133,  278.945,  278.915
256.748,  303.473,  281.285,  284.675
256.839,  297.533,  274.426,  273.555
256.930,  305.123,  279.165,  283.055
257.021,  327.353,  304.155,  306.465
257.112,  327.943,  304.926,  309.235
257.203,  280.773,  258.445,  259.825
257.294,  276.793,  254.465,  262.175
257.385,  310.973,  288.526,  294.205
257.475,  298.243,  279.135,  278.545
257.566,  305.943,  287.586,  292.255
257.657,  292.933,  269.595,  270.025
257.748,  291.523,  275.935,  276.095
257.839,  302.213,  287.915,  286.025
257.930,  304.853,  285.736,  290.395
258.020,  288.683,  269.716,  271.535
258.111,  280.093,  262.225,  263.255
258.202,  304.193,  288.326,  289.935
258.293,  297.433,  284.655,  285.305
258.384,  322.513,  305.595,  307.665
258.474,  300.573,  288.676,  291.995
258.565,  283.203,  271.635,  273.435
258.656,  307.093,  292.966,  295.145
258.747,  288.313,  271.475,  275.425
258.837,  287.383,  274.246,  273.695
258.928,  293.993,  275.785,  278.605
259.019,  285.163,  268.415,  270.595
259.109,  283.073,  269.685,  269.425
259.200,  301.913,  286.105,  289.815
259.291,  281.443,  269.975,  271.655
259.381,  303.573,  293.026,  295.635
259.472,  308.353,  295.796,  296.545
259.563,  317.973,  303.065,  305.845
259.653,  292.283,  278.296,  281.385
259.744,  280.983,  268.826,  267.735
259.835,  316.713,  300.975,  302.815
259.925,  292.023,  271.505,  277.075
260.016,  298.823,  286.746,  287.585
260.107,  269.863,  258.035,  264.715
260.197,  292.903,  283.975,  286.325
260.288,  288.053,  274.565,  279.155
260.378,  282.183,  267.195,  271.275
260.469,  301.303,  285.915,  288.765
260.560,  279.013,  266.146,  269.495
260.650,  283.603,  271.736,  275.665
260.741,  288.323,  276.366,  279.035
260.831,  287.523,  272.855,  275.905
260.922,  274.623,  266.206,  269.545
261.012,  284.513,  277.665,  278.255
261.103,  311.233,  301.785,  302.875
261.193,  311.943,  302.086,  303.915
261.284,  280.703,  271.806,  273.005
261.374,  308.963,  296.385,  303.855
261.465,  298.483,  287.755,  289.435
261.555,  290.913,  282.255,  280.715
261.646,  303.493,  292.475,  294.375
261.736,  298.033,  287.435,  290.535
261.827,  292.963,  283.716,  284.935
261.917,  318.723,  311.736,  311.595
262.007,  297.783,  283.986,  288.075
262.098,  297.573,  289.445,  287.725
262.188,  336.943,  326.655,  333.475
262.279,  309.813,  300.185,  299.795
262.369,  298.163,  286.285,  289.225
262.459,  299.043,  288.246,  290.365
262.550,  309.903,  303.266,  301.565
262.640,  283.963,  273.005,  276.555
262.731,  306.803,  300.935,  299.335
262.821,  317.673,  310.535,  312.255
262.911,  307.623,  297.875,  298.285
263.002,  299.133,  289.625,  290.825
263.092,  313.053,  303.956,  306.295
263.182,  292.543,  284.806,  285.755
263.273,  295.593,  285.426,  289.395
263.363,  309.853,  300.746,  299.385
263.453,  277.483,  267.375,  268.605
263.543,  303.473,  289.815,  289.615
263.634,  273.853,  266.516,  266.365
263.724,  303.333,  292.586,  293.065
263.814,  319.113,  308.706,  308.885
263.904,  291.673,  281.966,  285.905
263.995,  333.713,  322.276,  322.325
264.085,  301.353,  295.855,  294.575
264.175,  302.703,  296.706,  296.385
264.265,  325.973,  321.105,  321.865
264.356,  281.913,  270.466,  274.385
264.446,  317.043,  308.996,  307.575
264.536,  301.933,  294.026,  297.515
264.626,  322.963,  318.486,  320.175
264.716,  309.823,  298.435,  303.275
264.806,  318.353,  308.776,  310.415
264.897,  267.983,  258.135,  258.615
264.987,  315.373,  303.535,  304.475
265.077,  316.183,  287.046,  292.545
265.167,  373.003,  310.216,  311.575
265.257,  338.543,  290.445,  290.535
265.347,  332.003,  294.336,  295.795
265.437,  325.543,  296.176,  300.635
265.527,  316.023,  293.155,  294.765
265.617,  288.563,  279.875,  285.145
265.708,  324.893,  314.216,  314.825
265.798,  315.923,  305.415,  307.055
265.888,  309.083,  300.716,  305.545
265.978,  300.263,  294.496,  295.825
266.068,  321.383,  310.155,  315.855
266.158,  304.733,  294.005,  297.205
266.248,  278.843,  274.016,  276.865
266.338,  320.723,  313.035,  314.815
266.428,  308.663,  300.635,  302.655
266.518,  322.063,  311.405,  315.615
266.608,  307.693,  299.725,  294.215
266.698,  279.263,  273.586,  276.245
266.788,  286.623,  274.456,  277.745
266.878,  337.483,  325.776,  330.865
266.968,  317.993,  306.725,  309.425
267.058,  307.133,  297.375,  302.895
267.147,  312.003,  301.845,  302.905
267.237,  300.413,  291.815,  295.765
267.327,  292.963,  286.755,  287.895
267.417,  308.983,  301.225,  303.385
267.507,  299.443,  292.176,  294.215
267.597,  292.043,  282.026,  283.655
267.687,  292.613,  285.165,  287.755
267.777,  290.943,  283.986,  284.615
267.867,  321.343,  312.125,  312.585
267.956,  311.353,  302.466,  304.005
268.046,  314.483,  305.466,  310.865
268.136,  306.233,  296.875,  298.905
268.226,  285.443,  274.885,  274.965
268.316,  289.783,  280.766,  280.845
268.406,  296.673,  289.516,  287.595
268.495,  293.383,  284.415,  287.935
268.585,  313.593,  306.716,  309.605
268.675,  291.623,  284.336,  285.535
268.765,  309.603,  296.355,  300.115
268.854,  295.993,  285.935,  286.715
268.944,  301.613,  291.646,  293.805
269.034,  294.433,  283.986,  289.715
269.124,  299.063,  287.216,  290.705
269.213,  292.743,  286.336,  285.525
269.303,  296.353,  290.466,  288.585
269.393,  306.483,  299.845,  298.345
269.483,  305.433,  300.966,  302.735
269.572,  289.623,  282.875,  284.665
269.662,  284.853,  276.105,  283.315
269.752,  319.103,  312.736,  315.705
269.841,  278.963,  266.046,  269.455
269.931,  288.523,  281.586,  283.075
270.021,  307.263,  300.766,  304.675
270.110,  293.413,  285.695,  288.925
270.200,  304.293,  291.665,  299.445
270.289,  290.483,  280.785,  281.105
270.379,  311.683,  301.466,  302.775
270.469,  300.183,  290.556,  289.955
270.558,  310.413,  303.655,  302.185
270.648,  290.973,  282.785,  284.885
270.737,  298.723,  288.526,  291.525
270.827,  321.163,  310.185,  313.455
270.916,  291.993,  286.935,  289.915
271.006,  299.093,  293.475,  292.885
271.096,  323.513,  317.005,  317.215
271.185,  298.353,  289.896,  289.145
271.275,  309.063,  300.706,  303.575
271.364,  286.103,  281.535,  285.725
271.454,  320.393,  308.255,  315.275
271.543,  304.373,  296.935,  297.745
271.633,  297.953,  293.926,  292.835
271.722,  299.973,  292.255,  296.455
271.812,  296.303,  286.296,  289.275
271.901,  299.213,  292.326,  293.765
271.990,  295.643,  291.836,  290.915
272.080,  297.413,  290.635,  294.915
272.169,  306.613,  301.905,  302.555
272.259,  301.243,  293.225,  292.695
272.348,  311.713,  305.796,  308.535
272.438,  303.633,  296.935,  293.635
272.527,  307.013,  303.996,  304.365
272.616,  308.453,  301.866,  305.295
272.706,  332.863,  320.935,  323.195
272.795,  320.053,  314.076,  315.755
272.884,  303.983,  297.076,  299.515
272.974,  325.593,  317.975,  319.965
273.063,  341.653,  338.206,  337.765
273.152,  313.883,  310.306,  307.735
273.242,  327.993,  320.276,  324.915
273.331,  329.033,  319.315,  322.835
273.420,  313.543,  301.105,  310.255
273.510,  315.733,  307.355,  308.155
273.599,  314.833,  303.255,  306.195
273.688,  310.683,  302.605,  301.885
273.778,  291.353,  285.065,  287.095
273.867,  327.863,  320.266,  317.015
273.956,  310.553,  303.725,  303.805
274.045,  281.493,  273.966,  275.965
274.135,  313.023,  303.905,  305.375
274.224,  297.583,  286.516,  290.045
274.313,  313.843,  305.586,  307.745
274.402,  291.383,  284.796,  287.085
274.491,  318.133,  310.975,  312.995
274.581,  308.763,  301.415,  302.765
274.670,  299.953,  293.146,  294.385
274.759,  310.683,  299.405,  300.435
274.848,  283.753,  276.655,  279.925
274.937,  298.393,  289.945,  287.635
275.026,  290.323,  285.616,  287.835
275.116,  324.803,  316.415,  315.805
275.205,  299.183,  266.926,  271.135
275.294,  330.563,  302.315,  304.335
275.383,  305.363,  299.905,  297.985
275.472,  296.083,  290.005,  290.825
275.561,  301.103,  290.505,  290.285
275.650,  312.463,  306.046,  306.435
275.739,  302.943,  294.776,  297.985
275.828,  283.633,  274.635,  277.965
275.917,  319.353,  312.065,  306.825
276.006,  306.363,  295.426,  296.835
276.095,  302.583,  294.526,  298.665
276.184,  315.653,  309.556,  307.945
276.273,  310.453,  303.105,  304.505
276.362,  282.423,  275.896,  278.535
276.451,  299.593,  291.306,  291.915
276.540,  302.823,  295.896,  296.105
276.629,  295.793,  292.576,  293.225
276.718,  275.613,  270.695,  274.545
276.807,  277.533,  271.625,  274.825
276.896,  289.343,  280.526,  284.495
276.985,  293.423,  283.616,  289.365
277.074,  309.153,  299.105,  300.525
277.163,  301.593,  294.746,  299.085
277.252,  282.543,  279.646,  276.465
277.341,  292.123,  281.236,  289.265
277.430,  282.923,  276.845,  279.355
277.519,  307.723,  298.956,  301.695
277.608,  270.943,  266.546,  267.775
277.696,  276.363,  266.975,  269.445
277.785,  286.533,  284.095,  283.485
277.874,  305.733,  299.605,  296.795
277.963,  294.223,  288.155,  289.995
278.052,  271.873,  264.776,  265.525
278.141,  296.843,  288.415,  290.745
278.229,  298.993,  290.146,  291.935
278.318,  277.623,  268.236,  271.495
278.407,  292.403,  285.576,  285.935
278.496,  294.153,  289.915,  291.965
278.585,  305.193,  300.486,  302.275
278.673,  269.263,  263.836,  266.715
278.762,  277.073,  266.176,  270.485
278.851,  296.473,  285.496,  286.035
278.940,  309.753,  303.685,  303.305
279.028,  302.983,  296.306,  299.585
279.117,  291.013,  282.725,  286.655
279.206,  284.683,  279.475,  284.105
279.294,  291.953,  284.396,  286.665
279.383,  293.753,  286.646,  287.335
279.472,  304.583,  298.095,  298.295
279.561,  289.663,  283.355,  284.975
279.649,  316.103,  308.535,  308.935
279.738,  264.113,  255.566,  255.215
279.827,  313.633,  306.785,  308.805
279.915,  282.443,  275.285,  276.335
280.004,  296.083,  286.565,  288.905
280.092,  311.353,  305.236,  306.635
280.181,  292.333,  280.516,  282.605
280.270,  296.413,  277.866,  281.595
280.358,  312.123,  291.366,  288.915
280.447,  272.923,  261.415,  264.455
280.535,  286.653,  276.016,  275.945
280.624,  286.223,  274.185,  276.805
280.713,  289.343,  277.146,  283.385
280.801,  305.003,  293.116,  293.805
280.890,  297.093,  289.716,  295.475
280.978,  286.853,  280.755,  281.945
281.067,  262.983,  250.676,  255.865
281.155,  284.333,  274.855,  275.705
281.244,  328.353,  313.595,  316.445
281.332,  299.483,  290.845,  293.825
281.421,  279.663,  271.605,  273.675
281.509,  291.553,  284.646,  282.415
281.598,  272.333,  262.435,  263.765
281.686,  299.353,  290.776,  288.945
281.775,  296.433,  285.516,  290.815
281.863,  285.143,  278.016,  279.225
281.951,  284.953,  267.665,  270.735
282.040,  316.983,  300.315,  301.115
282.128,  306.833,  288.375,  294.235
282.217,  278.633,  265.926,  266.075
282.305,  309.493,  294.796,  294.045
282.393,  295.593,  286.505,  284.595
282.482,  291.163,  279.535,  283.255
282.570,  282.843,  266.945,  270.215
282.658,  291.463,  276.116,  277.715
282.747,  280.513,  265.026,  267.905
282.835,  325.913,  306.076,  309.035
282.923,  278.293,  264.655,  267.805
283.012,  300.083,  291.366,  296.345
283.100,  279.043,  269.185,  274.675
283.188,  266.263,  261.125,  262.525
283.277,  293.783,  284.336,  284.745
283.365,  278.753,  271.676,  278.375
283.453,  277.523,  264.755,  270.455
283.542,  298.533,  290.896,  293.765
283.630,  287.973,  276.195,  278.595
283.718,  278.523,  271.195,  274.365
283.806,  251.933,  241.706,  247.485
283.894,  282.283,  274.336,  274.395
283.983,  290.613,  282.165,  282.605
284.071,  296.593,  285.285,  291.495
284.159,  317.403,  309.125,  314.805
284.247,  299.273,  287.466,  288.555
284.335,  294.623,  286.935,  287.485
284.424,  294.813,  283.915,  288.465
284.512,  290.033,  283.475,  286.175
284.600,  288.453,  279.415,  280.145
284.688,  317.953,  312.815,  317.115
284.776,  293.653,  286.815,  287.745
284.864,  315.353,  302.125,  308.655
284.952,  299.753,  289.625,  289.025
285.041,  304.873,  298.255,  298.145
285.129,  310.493,  299.435,  302.445
285.217,  310.163,  300.056,  303.885
285.305,  324.833,  318.676,  319.885
285.393,  280.983,  275.776,  278.695
285.481,  301.813,  296.665,  298.405
285.569,  292.123,  282.966,  285.145
285.657,  301.503,  295.165,  296.255
285.745,  301.003,  292.655,  293.125
285.833,  299.813,  289.505,  293.165
285.921,  306.813,  298.116,  300.945
286.009,  308.183,  301.105,  303.655
286.097,  307.783,  298.236,  301.315
286.185,  293.183,  284.405,  284.795
286.273,  286.913,  283.415,  284.655
286.361,  315.813,  307.915,  311.825
286.449,  299.323,  296.195,  294.565
286.537,  306.633,  304.105,  302.085
286.625,  296.503,  291.185,  293.415
286.713,  287.903,  275.806,  280.315
286.801,  314.363,  312.076,  307.795
286.889,  326.763,  319.435,  320.055
286.976,  295.723,  287.905,  291.205
287.064,  313.983,  307.635,  311.875
287.152,  309.273,  303.576,  305.585
287.240,  314.743,  309.185,  308.845
287.328,  292.393,  287.685,  281.755
287.416,  297.173,  290.975,  292.385
287.504,  305.993,  294.435,  298.285
287.591,  305.443,  298.176,  300.225
287.679,  293.433,  286.095,  286.145
287.767,  306.753,  298.206,  296.985
287.855,  315.513,  303.736,  307.515
287.943,  315.463,  306.716,  309.435
288.030,  299.613,  293.456,  291.795
288.118,  323.273,  318.255,  318.995
288.206,  281.833,  274.956,  275.705
288.294,  310.073,  301.986,  304.135
288.382,  311.723,  300.776,  303.615
288.469,  313.523,  304.396,  308.895
288.557,  301.333,  294.095,  292.615
288.645,  331.143,  323.396,  323.315
288.732,  286.253,  278.915,  279.235
288.820,  312.123,  304.576,  306.785
288.908,  310.823,  304.826,  303.915
288.995,  319.583,  310.945,  310.305
289.083,  300.933,  293.026,  292.935
289.171,  339.583,  320.165,  325.565
289.258,  377.013,  322.176,  324.305
289.346,  439.663,  326.266,  329.365
289.434,  319.393,  303.435,  306.185
289.521,  291.053,  280.415,  286.295
289.609,  327.563,  320.426,  325.405
289.697,  320.663,  312.336,  315.125
289.784,  302.753,  295.445,  295.775
289.872,  314.413,  306.905,  313.015
289.959,  288.443,  282.375,  283.415
290.047,  304.143,  296.546,  300.865
290.134,  277.753,  272.665,  273.815
290.222,  317.103,  308.915,  308.665
290.310,  317.673,  304.905,  307.145
290.397,  337.813,  328.505,  332.835
290.485,  296.903,  290.815,  293.005
290.572,  321.643,  313.225,  314.645
290.660,  313.513,  306.385,  306.205
290.747,  300.233,  295.165,  292.775
290.835,  309.023,  299.016,  302.505
290.922,  309.053,  304.016,  305.515
291.009,  303.213,  297.676,  301.715
291.097,  303.463,  297.926,  300.755
291.184,  341.993,  332.716,  338.585
291.272,  292.353,  282.966,  288.375
291.359,  290.213,  283.915,  289.305
291.447,  306.563,  303.086,  304.735
291.534,  330.503,  327.326,  323.005
291.621,  306.233,  302.845,  301.105
291.709,  290.543,  285.716,  283.705
291.796,  319.293,  320.146,  316.555
291.884,  298.323,  291.466,  296.115
291.971,  324.493,  315.065,  320.295
292.058,  295.363,  288.725,  288.985
292.146,  300.623,  293.746,  297.955
292.233,  293.673,  285.426,  284.765
292.320,  301.143,  294.306,  297.685
292.408,  319.963,  309.086,  308.565
292.495,  304.333,  290.565,  293.085
292.582,  294.183,  286.845,  287.375
292.669,  289.273,  281.415,  286.055
292.757,  288.563,  282.176,  283.865
292.844,  317.283,  312.935,  313.175
292.931,  283.423,  275.176,  277.485
293.018,  296.963,  291.516,  289.915
293.106,  306.843,  299.966,  303.035
293.193,  277.183,  272.415,  274.385
293.280,  303.493,  297.255,  303.635
293.367,  297.573,  296.956,  295.215
293.455,  300.393,  293.185,  294.155
293.542,  283.863,  275.695,  281.445
293.629,  284.463,  279.035,  281.855
293.716,  314.193,  305.646,  311.195
293.803,  295.753,  287.105,  287.695
293.890,  318.953,  310.336,  312.555
293.978,  294.933,  284.105,  290.755
294.065,  293.423,  286.725,  284.345
294.152,  309.723,  302.385,  304.355
294.239,  280.103,  275.646,  274.625
294.326,  291.123,  286.746,  290.635
294.413,  283.043,  278.046,  278.465
294.500,  300.203,  292.586,  295.255
294.587,  290.433,  283.915,  287.195
294.674,  314.633,  305.875,  306.925
294.761,  296.043,  288.896,  287.945
294.848,  294.233,  286.866,  294.115
294.935,  297.103,  290.746,  290.555
295.022,  279.463,  272.396,  274.105
295.109,  265.883,  258.466,  262.665
295.196,  298.473,  291.405,  295.265
295.283,  281.213,  281.176,  278.745
295.370,  318.113,  308.975,  312.155
295.457,  296.793,  289.986,  290.435
295.544,  295.013,  285.105,  287.985
295.631,  297.703,  290.165,  295.805
295.718,  280.913,  272.676,  274.015
295.805,  302.573,  296.225,  296.685
295.892,  306.943,  300.005,  304.445
295.979,  299.733,  291.266,  292.755
296.066,  304.813,  293.996,  296.145
296.153,  305.793,  296.026,  296.355
296.240,  307.203,  299.206,  300.535
296.327,  304.403,  285.206,  285.615
296.413,  323.643,  301.285,  305.075
